url,headline,date,body,headline_word_count,body_word_count
https://www.skynews.com.au/australia-news/politics/victorian-government-moving-to-make-medicinal-cannabis-legal-whilst-driving/video/91074830fc68e6e9345c71e96016fcc3,,,"The Victorian government is moving to make medicinal cannabis legal for patients driving behind the wheel.  A private members bill is being debated in Parliament’s upper house today which would treat Medicinal Cannabis like any other prescription medication, when it comes to driving. The legislation would amend the state’s Road Safety Act to not make it an offence for a driver to have THC in their system, provided they have a prescription. Read More Our Apps",0,76
https://www.skynews.com.au/business/full-interview-thc-poised-to-dominate-australian-medicinal-cannabis-market/video/2f075ff0196125dc2526717b74582bab,,,"Over the past few months, the medicinal cannabis industry has entered a sharp growth period.  The Hydroponics Company (THC) is one of the main players in the cannabis sector and is on the path to secure its third and final licence to grow locally.  The CEO of THC David Radford sat down with Sky News Business to discuss his company’s ‘dual-prong’ strategy moving forward, including growth in Canada.  Read More Our Apps",0,72
https://www.skynews.com.au/australia-news/the-exportation-of-medicinal-cannabis-will-be-made-legal-from-today-in-a-major-boost-for-australian-producers/video/9c8c8733b958f7c695819bcac39dfe75,,,"The exportation of medicinal cannabis will be made legal from today, in a major boost for Australian producers. The changes will open the door for an ongoing supply of medicinal cannabis, to be made available for Australian patients. Read More Our Apps",0,42
https://www.skynews.com.au/business/qbl-ceo-sholom-feldman-and-andrew-kavasilas-tech-director-of-qbl-sat-down-with-sky-news-business-to-discuss-queensland-bauxites-emergence-as-one-of-the-key-players-in-the-australian-cannabis-scene/video/be67978b1d6ff809d92afda4df8bce45,,,"CEO of QBL, Sholom Feldman and Andrew Kavasilas Tech Director of QBL sat down with Sky News Business to discuss Queensland Bauxite’s emergence as one of the key players in the Australian cannabis scene. Queensland Bauxite now boasts a 55 per cent stake in medical marijuana.  Read More Our Apps",0,50
https://www.skynews.com.au/opinion/business-backlash-over-queensland-rehab-clinic-selling-medicinal-cannabis/video/86e0bda2c766c56bff22f36c88433b37,,,"Sky News host Peta Credlin has spoken to Black’s Locksmith Darren Black after business owners in Beenleigh, south of Brisbane, expressed outrage after a drug and alcohol rehab clinic began selling medicinal cannabis. Read More Our Apps",0,37
https://www.skynews.com.au/australia-news/medicinal-cannabis-legalised-for-australian-patients/video/70df3fff50087b64ca9ca97c67544bf5,,,"Australia’s budding medicinal cannabis sector is preparing for a major windfall after winning approval to begin exports. Health Minister Greg Hunt says allowing medicinal cannabis product exports will help the developing domestic market blaze a new trail internationally. ‘Our goal is very clear – to give Australian farmers and manufacturers the best shot at being the world’s number one exporter of medicinal cannabis,’ Mr Hunt told reporters in Melbourne on Thursday. He said Australia’s reputation for ‘clean and green’ farm products meant it is well placed to be a leader in medical cannabis. The export permit will be done by regulation. Read More Our Apps",0,105
https://www.skynews.com.au/australia-news/patients-could-soon-get-faster-access-to-medicinal-cannabis-under-a-deal-to-be-put-to-health-ministers-with-tasmania-and-victoria-understood-to-be-the-most-interested-in-the-offer/video/f9ff2898f0be1e9796859fcea5b1d388,,,"Patients could soon get faster access to medicinal cannabis under a deal to be put to health ministers, with Tasmania and Victoria understood to be the most interested in the offer.  Health Minister Greg Hunt has already signed up NSW to the process, which is expected to make medicinal cannabis available to patients within two days. The deal involves a single approval process under the Therapeutic Goods Administration, avoiding duplication with state authorities. Read More Our Apps",0,77
https://www.skynews.com.au/australia-news/researchers-conduct-worldfirst-medicinal-cannabis-trial-for-brain-cancer/video/83f7e96f63b72e7ad752271e4d1715cb,,,Brisbane-based researcher Dr Janet Schloss has teamed up with neurosurgeon Charlie Teo to conduct a world-first medicinal cannabis trial in brain cancer patients. Dr Schloss is the Clinical Trials Coordinator at Endeavour College of Natural Health. Read More Our Apps,0,40
https://www.skynews.com.au/australia-news/politics/daniel-andrews-addresses-prospect-of-cannabis-reforms-in-victoria-amid-states-new-look-legislative-council/news-story/89b5aa9fa3e8adc4710876df221cb0a1,Daniel Andrews addresses prospect of cannabis reforms in Victoria amid state's new look Legislative Council,,"Daniel Andrews has faced questions over cannabis reforms in Victoria after the Legalise Cannabis party gained two seats in the upper house - votes that could be crucial in passing legislation. Victorian Premier Daniel Andrews has ruled out broad drug reform during this term of Parliament amid a new look upper house.    The results of the Legislative Council were confirmed on Wednesday, with Labor needing the support of six crossbenchers to pass legislation. Those numbers could come from the four Greens and two Legalise Cannabis Victoria members who will sit in the upper house. But Mr Andrews told reporters on Thursday cannabis reform was not something that was on the agenda of his government.   ""We've got no plans at this time to do that and that's been our consistent position. At the end of the day the government's been elected with a clear mandate to get on and deliver all the commitments we made,"" he said.  Stream more on politics with Flash. 25+ news channels in 1 place. New to Flash? Try 1 month free. Offer ends 31 October, 2023 ""Some of those will require parliamentary approval, many of them don't. I don't need to put a law into the Parliament to recruit additional ambos... to get on and build the Suburban Rail Loop or build new hospitals or schools or road or rail. ""But there will be some matters that have to be approved by the Parliament. We'll do what we've always done – negotiate in good faith with each member of the crossbench and hopefully be able to put together those 21 votes."" Legalise Cannabis party policy includes ""reform of drug driving laws where impairment, not presence, is tested"" and ""road safety laws to be amended to allow for a defence for medicinal users"". Mr Andrews said discussions took place on drug driving reforms during the last term of Parliament including with now ousted upper house member Fiona Patten but there were a ""number of complexities"" to changing testing.  ""But I think from a medicinal cannabis point of view, there are people who are not taking the medication that they need, because it's a binary test – you either test positive or negative, there's no .05 for this to use the most obvious example,"" the Premier said.  ""I'm not sure whether there's a fix to that. It certainly proved difficult to find one during the last Parliament, but I've always got an open mind to that. ""But I just want to stress this is particularly acute and particularly of importance to me for those who are lawfully using medicinal cannabis."" Mr Andrews said any change would not be aimed at ""opening the gates"" to broader reforms that go beyond medicinal users.   ""This is not about opening the gates or if you like reform for the purposes of another cohort and it was never put to me in those terms,"" he said.  ""It was always put to the government there's a bunch of people – for whatever condition they've got they need medicinal cannabis – but won't use it because of this driving issue. ""We have to do a bit more work on that and if there is a way through, then fine, but it is a bit challenging because of the absence of a test that can, to a level of certainty, determine impairment as opposed to positive, negative, yes or no."" The 40-seat upper house includes 15 Labor members, 14 from the Coalition, four from the Greens, two from Legalise Cannabis Victoria, one from Liberal Democrats, one from Animal Justice Party, one from Shooters, Fishers and Farmers, one from Democratic Labour Party and one from One Nation.    A majority of 21 is needed to see legislation through.   Legalise Cannabis Victoria took to social media on Thursday to thank volunteers and candidates and note: ""Your hard work has paid off and now we can get the job done"". ""Thanks to Fiona Patten for putting all of the hard yards into enquiry into cannabis which will be instrumental in seeing cannabis legalised in Victoria. Exciting times ahead,"" the post continued.    To join the conversation, please
 log in. Don't have an account?
 Register Join the conversation, you are commenting as  Logout Our Apps",15,703
https://www.skynews.com.au/lifestyle/celebrity-life/singersongwriter-lewis-capaldi-reveals-he-was-diagnosed-with-tourettes-syndrome-and-is-learning-to-live-with-it/news-story/8191a39331ad80c8a3d60e797e20e2c5,Singer-songwriter Lewis Capaldi reveals he was diagnosed with Tourette's syndrome and is learning to 'live with it',,"The Scottish singer-songwriter said his diagnosis was recent but he wanted to share it with the public because he ""didn't want people to think"" he was ""taking cocaine"". Lewis Capaldi has revealed he has been diagnosed with Tourette's syndrome after months of speculation over his health. The Scottish singer-songwriter said his diagnosis was recent but wanted to share it to the public because he ""didn't want people to think I was taking cocaine"". Tourette's syndrome is a neurological disorder characterised by sudden, repetitive and rapid movements or vocal sounds called tics. Stream more celebrity news with Flash. 25+ news channels in 1 place. New to Flash? Try 1 month free. Offer ends 31 October, 2022 There is no cure for the disorder but treatments are available to help manage some symptoms. ""I have been diagnosed with Tourette's,"" the Before You Go singer told The Sun. ""I wanted to speak about it because I didn't want people to think I was taking cocaine or something."" Capaldi confirmed he was experiencing one symptom of the condition which means his shoulder twitches when he is excited, happy, nervous or stressed. ""My shoulder twitches when I am excited,  happy, nervous or stressed. It's something I am living with,"" he said, before adding: ""It's not as bad as it looks"". The Glasgow-born singer said he didn't know much about Tourette's but says his diagnosis ""makes so much sense"" after looking back at his interviews from 2018. Capaldi released his first track Bruises in March 2017 and rose to fame in 2018 with the success of his single Someone You Loved, which had become the longest running top 10 UK single of all time by a British artist. In 2020, he won the Global Awards' Best New Artist and Song of the Year for Someone You Loved. Took my clothes off and traumatised the general public all in the name of shameless self promotion. Sex sells. New single FORGET ME out the 9th September x pic.twitter.com/QfgADaMq3a Capaldi promoted his new single Forget Me after a three-year hiatus by posing in his underwear on a massive billboard. The billboard, which features the singer wearing white underwear, sunglasses and holding a cocktail, wrote: ""I'm not ready to find out you know how to forget me"". Posting on Twitter, the singer said he took his clothes off and ""traumatised the general public all in the name of shameless self promotion"". The song Forget Me is out on September 9. To join the conversation, please
 log in. Don't have an account?
 Register Join the conversation, you are commenting as  Logout Our Apps",17,432
